x,y,title,xlabel,ylabel
4601408449.69014,1.74919563278308E-008,,,
4601690139.82817,1.53929100576988E-008,,,
4601971829.9662,1.93483735699829E-008,,,
4602253520.10423,3.01041751527009E-008,,,
4602535210.24225,2.71627822456821E-008,,,
4602816900.38028,3.15665431571688E-008,,,
4603098590.51831,4.08074747326737E-008,,,
4603380280.65634,3.84203957537466E-008,,,
4603661970.79437,5.28004520106151E-008,,,
4603943660.93239,5.30052020053517E-008,,,
4604225351.07042,6.13330328746997E-008,,,
4604507041.20845,7.62692522471298E-008,,,
4604788731.34648,9.59377146614315E-008,,,
4605070421.48451,1.04930833799699E-007,,,
4605352111.62253,1.25890025515218E-007,,,
4605633801.76056,1.84094730570905E-007,,,
4605915491.89859,1.73201300412984E-007,,,
4606197182.03662,1.85839837740787E-007,,,
4606478872.17465,2.3202628085528E-007,,,
4606760562.31268,2.41230111441837E-007,,,
4607042252.4507,3.19514015245659E-007,,,
4607323942.58873,3.37922188009543E-007,,,
4607605632.72676,3.82384655495116E-007,,,
4607887322.86479,4.52058628752638E-007,,,
4608169013.00282,5.27684051121469E-007,,,
4608450703.14085,6.81548215197836E-007,,,
4608732393.27887,7.31442298729235E-007,,,
4609014083.4169,8.68058577907505E-007,,,
4609295773.55493,1.02743535990157E-006,,,
4609577463.69296,1.30269825149298E-006,,,
4609859153.83099,1.38853908993042E-006,,,
4610140843.96901,1.68710585057852E-006,,,
4610422534.10704,1.87641865068144E-006,,,
4610704224.24507,2.18869695345347E-006,,,
4610985914.3831,2.53972984864959E-006,,,
4611267604.52113,2.76495802609134E-006,,,
4611549294.65915,3.25903261000349E-006,,,
4611830984.79718,3.93457003156072E-006,,,
4612112674.93521,4.20716514781816E-006,,,
4612394365.07324,5.33294178239885E-006,,,
4612676055.21127,6.08814980296302E-006,,,
4612957745.3493,7.70465339883231E-006,,,
4613239435.48732,8.70148414833238E-006,,,
4613521125.62535,1.3470806152327E-005,,,
4613802815.76338,1.45798176163225E-005,,,
4614084505.90141,1.66338231792906E-005,,,
4614366196.03944,1.44499654197716E-005,,,
4614647886.17746,1.27885987240006E-005,,,
4614929576.31549,1.2680059626291E-005,,,
4615211266.45352,1.06326342574903E-005,,,
4615492956.59155,8.45892645884305E-006,,,
4615774646.72958,8.38800860947231E-006,,,
4616056336.86761,7.03360501574934E-006,,,
4616338027.00563,5.61002480026218E-006,,,
4616619717.14366,4.81315964862006E-006,,,
4616901407.28169,4.35696892964188E-006,,,
4617183097.41972,3.72435943063465E-006,,,
4617464787.55775,3.2272700991598E-006,,,
4617746477.69578,2.84435168396158E-006,,,
4618028167.8338,2.51875258072687E-006,,,
4618309857.97183,2.09108702620142E-006,,,
4618591548.10986,1.78228253844281E-006,,,
4618873238.24789,1.54384053985268E-006,,,
4619154928.38592,1.35855771077331E-006,,,
4619436618.52394,1.14725753519451E-006,,,
4619718308.66197,9.23507172956306E-007,,,
4619999998.8,8.59852434587083E-007,,,
4620281688.93803,7.68787117522152E-007,,,
4620563379.07606,6.05824993726856E-007,,,
4620845069.21408,5.49616004263953E-007,,,
4621126759.35211,4.89572414608119E-007,,,
4621408449.49014,4.48836487976223E-007,,,
4621690139.62817,4.09393692279991E-007,,,
4621971829.7662,3.05189473692735E-007,,,
4622253519.90423,3.01870528574E-007,,,
4622535210.04225,2.67727443770127E-007,,,
4622816900.18028,2.20808644257886E-007,,,
4623098590.31831,1.81603923010698E-007,,,
4623380280.45634,1.32091940940882E-007,,,
4623661970.59437,1.19036791090821E-007,,,
4623943660.73239,1.06354953288701E-007,,,
4624225350.87042,9.74148264276664E-008,,,
4624507041.00845,1.00577651096501E-007,,,
4624788731.14648,6.91292854071435E-008,,,
4625070421.28451,6.03421881351096E-008,,,
4625352111.42253,5.09294260098159E-008,,,
4625633801.56056,3.79675810791014E-008,,,
4625915491.69859,3.14653298971734E-008,,,
4626197181.83662,3.01644895728259E-008,,,
4626478871.97465,2.58584176293652E-008,,,
4626760562.11268,2.1423206320037E-008,,,
4627042252.2507,1.53060994989573E-008,,,
4627323942.38873,1.51132546477584E-008,,,
4627605632.52676,1.50430601308926E-008,,,
4627887322.66479,1.22349748110651E-008,,,
4628169012.80282,1.00433421579282E-008,,,
4628450702.94085,8.43141467754549E-009,,,
4628732393.07887,9.05455710409342E-009,,,
4629014083.2169,6.62990728983459E-009,,,
4629295773.35493,6.99851643304328E-009,,,
4629577463.49296,4.68252148166926E-009,,,
4629859153.63099,5.32766319949474E-009,,,
4630140843.76901,4.48195347502178E-009,,,
4630422533.90704,4.55569892920948E-009,,,
4630704224.04507,3.77937725559718E-009,,,
4630985914.1831,3.55431950538332E-009,,,
4631267604.32113,3.97019750408845E-009,,,
4631549294.45916,2.86668089266584E-009,,,
4631830984.59718,2.53503573688363E-009,,,
4632112674.73521,2.70278399661095E-009,,,
4632394364.87324,2.45035924884007E-009,,,
4632676055.01127,2.14703721468368E-009,,,
4632957745.1493,1.80865478149883E-009,,,
4633239435.28732,1.66843427962249E-009,,,
4633521125.42535,1.54843082800227E-009,,,
4633802815.56338,1.36613997891999E-009,,,
4634084505.70141,1.23829191345237E-009,,,
4634366195.83944,1.24231192000224E-009,,,
4634647885.97746,1.17236587104941E-009,,,
4634929576.11549,1.30806299125652E-009,,,
4635211266.25352,9.81844161529466E-010,,,
4635492956.39155,1.0339276101945E-009,,,
4635774646.52958,8.9268037406498E-010,,,
4636056336.66761,8.69539051873147E-010,,,
4636338026.80563,7.93157983736137E-010,,,
4636619716.94366,6.32509933318204E-010,,,
4636901407.08169,6.26159846195407E-010,,,
4637183097.21972,5.76359626691669E-010,,,
4637464787.35775,5.47227319014354E-010,,,
4637746477.49577,4.73651506904815E-010,,,
4638028167.6338,4.3106090918954E-010,,,
4638309857.77183,4.48277998055246E-010,,,
4638591547.90986,3.67988334248892E-010,,,
4638873238.04789,3.56538853996113E-010,,,
4639154928.18592,3.30782623514381E-010,,,
4639436618.32394,3.21395660085599E-010,,,
4639718308.46197,3.15093756642071E-010,,,
4639999998.6,2.88811308202241E-010,,,
4640281688.73803,3.03333413942397E-010,,,
4640563378.87606,2.67182720392611E-010,,,
4640845069.01408,2.49398862672834E-010,,,
4641126759.15211,2.58468080271967E-010,,,
4641408449.29014,2.33814106964658E-010,,,
4641690139.42817,2.21301352243408E-010,,,
4641971829.5662,2.34488706229996E-010,,,
4642253519.70423,2.29083571556821E-010,,,
4642535209.84225,1.96781133054991E-010,,,
